"","Id","Id2","Geography","Estimate; Total:","Estimate; Native:","Estimate; Native: - Allocated","Estimate; Native: - Not allocated","Estimate; Foreign born:","Estimate; Foreign born: - Allocated","Estimate; Foreign born: - Not allocated"
"129","1500000US080310024021","080310024021","Block Group 1, Census Tract 24.02, Denver County, Colorado",1118,1036,90,946,82,13,69
"130","1500000US080310024022","080310024022","Block Group 2, Census Tract 24.02, Denver County, Colorado",769,742,112,630,27,12,15
"131","1500000US080310024031","080310024031","Block Group 1, Census Tract 24.03, Denver County, Colorado",1257,1170,56,1114,87,0,87
"132","1500000US080310024032","080310024032","Block Group 2, Census Tract 24.03, Denver County, Colorado",884,864,86,778,20,0,20
"133","1500000US080310024033","080310024033","Block Group 3, Census Tract 24.03, Denver County, Colorado",1492,1330,76,1254,162,12,150
"134","1500000US080310026011","080310026011","Block Group 1, Census Tract 26.01, Denver County, Colorado",1600,1452,58,1394,148,0,148
"135","1500000US080310026012","080310026012","Block Group 2, Census Tract 26.01, Denver County, Colorado",1532,1358,56,1302,174,0,174
"136","1500000US080310026021","080310026021","Block Group 1, Census Tract 26.02, Denver County, Colorado",2702,2560,95,2465,142,14,128
"137","1500000US080310027011","080310027011","Block Group 1, Census Tract 27.01, Denver County, Colorado",1030,1030,0,1030,0,0,0
"138","1500000US080310027012","080310027012","Block Group 2, Census Tract 27.01, Denver County, Colorado",1165,978,36,942,187,0,187
"139","1500000US080310027013","080310027013","Block Group 3, Census Tract 27.01, Denver County, Colorado",1637,1531,43,1488,106,21,85
"140","1500000US080310027014","080310027014","Block Group 4, Census Tract 27.01, Denver County, Colorado",841,828,49,779,13,13,0
"141","1500000US080310027021","080310027021","Block Group 1, Census Tract 27.02, Denver County, Colorado",1534,1500,0,1500,34,0,34
"142","1500000US080310027022","080310027022","Block Group 2, Census Tract 27.02, Denver County, Colorado",1617,1458,27,1431,159,0,159
"143","1500000US080310027023","080310027023","Block Group 3, Census Tract 27.02, Denver County, Colorado",1023,950,67,883,73,0,73
"144","1500000US080310027024","080310027024","Block Group 4, Census Tract 27.02, Denver County, Colorado",673,643,75,568,30,0,30
"145","1500000US080310027025","080310027025","Block Group 5, Census Tract 27.02, Denver County, Colorado",1110,1036,7,1029,74,19,55
"146","1500000US080310027031","080310027031","Block Group 1, Census Tract 27.03, Denver County, Colorado",1673,1511,89,1422,162,12,150
"147","1500000US080310027032","080310027032","Block Group 2, Census Tract 27.03, Denver County, Colorado",1257,1235,188,1047,22,22,0
"148","1500000US080310027033","080310027033","Block Group 3, Census Tract 27.03, Denver County, Colorado",1201,1086,32,1054,115,0,115
"149","1500000US080310027034","080310027034","Block Group 4, Census Tract 27.03, Denver County, Colorado",1110,1077,35,1042,33,0,33
"150","1500000US080310028011","080310028011","Block Group 1, Census Tract 28.01, Denver County, Colorado",1028,987,56,931,41,8,33
"151","1500000US080310028012","080310028012","Block Group 2, Census Tract 28.01, Denver County, Colorado",778,740,0,740,38,10,28
"152","1500000US080310028013","080310028013","Block Group 3, Census Tract 28.01, Denver County, Colorado",899,869,43,826,30,0,30
"153","1500000US080310028021","080310028021","Block Group 1, Census Tract 28.02, Denver County, Colorado",1728,1606,146,1460,122,12,110
"154","1500000US080310028022","080310028022","Block Group 2, Census Tract 28.02, Denver County, Colorado",764,706,11,695,58,0,58
"155","1500000US080310028023","080310028023","Block Group 3, Census Tract 28.02, Denver County, Colorado",1008,965,45,920,43,0,43
"156","1500000US080310028024","080310028024","Block Group 4, Census Tract 28.02, Denver County, Colorado",834,834,22,812,0,0,0
"157","1500000US080310028031","080310028031","Block Group 1, Census Tract 28.03, Denver County, Colorado",712,696,0,696,16,0,16
"158","1500000US080310028032","080310028032","Block Group 2, Census Tract 28.03, Denver County, Colorado",1236,1106,0,1106,130,0,130
"159","1500000US080310028033","080310028033","Block Group 3, Census Tract 28.03, Denver County, Colorado",1389,1376,83,1293,13,0,13
"160","1500000US080310028034","080310028034","Block Group 4, Census Tract 28.03, Denver County, Colorado",1321,1128,0,1128,193,0,193
"161","1500000US080310029011","080310029011","Block Group 1, Census Tract 29.01, Denver County, Colorado",891,851,48,803,40,0,40
"162","1500000US080310029012","080310029012","Block Group 2, Census Tract 29.01, Denver County, Colorado",1187,1095,64,1031,92,22,70
"163","1500000US080310029013","080310029013","Block Group 3, Census Tract 29.01, Denver County, Colorado",1168,1132,106,1026,36,9,27
"164","1500000US080310029021","080310029021","Block Group 1, Census Tract 29.02, Denver County, Colorado",1923,1870,162,1708,53,13,40
"165","1500000US080310029022","080310029022","Block Group 2, Census Tract 29.02, Denver County, Colorado",1290,1212,66,1146,78,0,78
"166","1500000US080310029023","080310029023","Block Group 3, Census Tract 29.02, Denver County, Colorado",1117,1101,41,1060,16,0,16
"167","1500000US080310030011","080310030011","Block Group 1, Census Tract 30.01, Denver County, Colorado",984,952,28,924,32,0,32
"168","1500000US080310030012","080310030012","Block Group 2, Census Tract 30.01, Denver County, Colorado",1272,1244,160,1084,28,0,28
"169","1500000US080310030013","080310030013","Block Group 3, Census Tract 30.01, Denver County, Colorado",958,912,0,912,46,0,46
"170","1500000US080310030014","080310030014","Block Group 4, Census Tract 30.01, Denver County, Colorado",1181,1078,129,949,103,16,87
"171","1500000US080310030015","080310030015","Block Group 5, Census Tract 30.01, Denver County, Colorado",1317,1316,0,1316,1,0,1
"172","1500000US080310030021","080310030021","Block Group 1, Census Tract 30.02, Denver County, Colorado",594,567,61,506,27,0,27
"173","1500000US080310030022","080310030022","Block Group 2, Census Tract 30.02, Denver County, Colorado",785,756,30,726,29,0,29
"174","1500000US080310030023","080310030023","Block Group 3, Census Tract 30.02, Denver County, Colorado",1181,1089,39,1050,92,0,92
"175","1500000US080310030031","080310030031","Block Group 1, Census Tract 30.03, Denver County, Colorado",1643,1598,156,1442,45,0,45
"176","1500000US080310030032","080310030032","Block Group 2, Census Tract 30.03, Denver County, Colorado",1648,1443,27,1416,205,0,205
"177","1500000US080310030041","080310030041","Block Group 1, Census Tract 30.04, Denver County, Colorado",2546,2091,8,2083,455,0,455
"178","1500000US080310030042","080310030042","Block Group 2, Census Tract 30.04, Denver County, Colorado",2141,2060,210,1850,81,0,81
"179","1500000US080310030043","080310030043","Block Group 3, Census Tract 30.04, Denver County, Colorado",1530,1379,56,1323,151,24,127
"180","1500000US080310031011","080310031011","Block Group 1, Census Tract 31.01, Denver County, Colorado",1576,1497,130,1367,79,5,74
"181","1500000US080310031021","080310031021","Block Group 1, Census Tract 31.02, Denver County, Colorado",1685,1554,55,1499,131,0,131
"182","1500000US080310031022","080310031022","Block Group 2, Census Tract 31.02, Denver County, Colorado",1633,1541,116,1425,92,0,92
"183","1500000US080310032011","080310032011","Block Group 1, Census Tract 32.01, Denver County, Colorado",1359,1228,62,1166,131,0,131
"184","1500000US080310032012","080310032012","Block Group 2, Census Tract 32.01, Denver County, Colorado",1471,1377,45,1332,94,0,94
"185","1500000US080310032013","080310032013","Block Group 3, Census Tract 32.01, Denver County, Colorado",1193,1030,0,1030,163,0,163
"186","1500000US080310032014","080310032014","Block Group 4, Census Tract 32.01, Denver County, Colorado",760,748,33,715,12,0,12
"187","1500000US080310032015","080310032015","Block Group 5, Census Tract 32.01, Denver County, Colorado",684,648,0,648,36,0,36
"188","1500000US080310032021","080310032021","Block Group 1, Census Tract 32.02, Denver County, Colorado",1101,1023,8,1015,78,0,78
"189","1500000US080310032022","080310032022","Block Group 2, Census Tract 32.02, Denver County, Colorado",811,778,53,725,33,13,20
"190","1500000US080310032023","080310032023","Block Group 3, Census Tract 32.02, Denver County, Colorado",1224,1062,28,1034,162,25,137
"191","1500000US080310032031","080310032031","Block Group 1, Census Tract 32.03, Denver County, Colorado",774,714,8,706,60,0,60
"192","1500000US080310032032","080310032032","Block Group 2, Census Tract 32.03, Denver County, Colorado",1222,1188,70,1118,34,0,34
"193","1500000US080310032033","080310032033","Block Group 3, Census Tract 32.03, Denver County, Colorado",1126,1049,70,979,77,0,77
"194","1500000US080310033001","080310033001","Block Group 1, Census Tract 33, Denver County, Colorado",1109,1075,51,1024,34,0,34
"195","1500000US080310033002","080310033002","Block Group 2, Census Tract 33, Denver County, Colorado",884,835,199,636,49,8,41
"196","1500000US080310033003","080310033003","Block Group 3, Census Tract 33, Denver County, Colorado",1002,897,27,870,105,0,105
"197","1500000US080310033004","080310033004","Block Group 4, Census Tract 33, Denver County, Colorado",565,557,0,557,8,0,8
"198","1500000US080310034011","080310034011","Block Group 1, Census Tract 34.01, Denver County, Colorado",550,544,16,528,6,0,6
"199","1500000US080310034012","080310034012","Block Group 2, Census Tract 34.01, Denver County, Colorado",1992,1852,128,1724,140,0,140
"200","1500000US080310034021","080310034021","Block Group 1, Census Tract 34.02, Denver County, Colorado",1202,1086,43,1043,116,0,116
"201","1500000US080310034022","080310034022","Block Group 2, Census Tract 34.02, Denver County, Colorado",2496,2353,191,2162,143,0,143
"202","1500000US080310034023","080310034023","Block Group 3, Census Tract 34.02, Denver County, Colorado",1123,1064,18,1046,59,19,40
"203","1500000US080310035001","080310035001","Block Group 1, Census Tract 35, Denver County, Colorado",856,695,13,682,161,16,145
"204","1500000US080310035002","080310035002","Block Group 2, Census Tract 35, Denver County, Colorado",1474,918,51,867,556,26,530
"205","1500000US080310035003","080310035003","Block Group 3, Census Tract 35, Denver County, Colorado",1648,999,64,935,649,38,611
"206","1500000US080310035004","080310035004","Block Group 4, Census Tract 35, Denver County, Colorado",1111,666,0,666,445,0,445
"207","1500000US080310035005","080310035005","Block Group 5, Census Tract 35, Denver County, Colorado",1831,1169,92,1077,662,152,510
"208","1500000US080310036011","080310036011","Block Group 1, Census Tract 36.01, Denver County, Colorado",1167,989,38,951,178,3,175
"209","1500000US080310036012","080310036012","Block Group 2, Census Tract 36.01, Denver County, Colorado",690,632,52,580,58,0,58
"210","1500000US080310036013","080310036013","Block Group 3, Census Tract 36.01, Denver County, Colorado",1676,1233,132,1101,443,15,428
"211","1500000US080310036014","080310036014","Block Group 4, Census Tract 36.01, Denver County, Colorado",467,313,23,290,154,0,154
"212","1500000US080310036015","080310036015","Block Group 5, Census Tract 36.01, Denver County, Colorado",549,402,22,380,147,81,66
"213","1500000US080310036021","080310036021","Block Group 1, Census Tract 36.02, Denver County, Colorado",1365,831,56,775,534,26,508
"214","1500000US080310036022","080310036022","Block Group 2, Census Tract 36.02, Denver County, Colorado",542,443,11,432,99,30,69
"215","1500000US080310036023","080310036023","Block Group 3, Census Tract 36.02, Denver County, Colorado",527,424,24,400,103,14,89
"216","1500000US080310036024","080310036024","Block Group 4, Census Tract 36.02, Denver County, Colorado",1061,960,0,960,101,0,101
"217","1500000US080310036025","080310036025","Block Group 5, Census Tract 36.02, Denver County, Colorado",1099,966,77,889,133,0,133
"218","1500000US080310036031","080310036031","Block Group 1, Census Tract 36.03, Denver County, Colorado",1341,1218,75,1143,123,26,97
"219","1500000US080310036032","080310036032","Block Group 2, Census Tract 36.03, Denver County, Colorado",1795,1743,66,1677,52,0,52
"220","1500000US080310037011","080310037011","Block Group 1, Census Tract 37.01, Denver County, Colorado",1637,1501,123,1378,136,0,136
"221","1500000US080310037012","080310037012","Block Group 2, Census Tract 37.01, Denver County, Colorado",1757,1682,73,1609,75,0,75
"222","1500000US080310037021","080310037021","Block Group 1, Census Tract 37.02, Denver County, Colorado",1801,1783,131,1652,18,18,0
"223","1500000US080310037022","080310037022","Block Group 2, Census Tract 37.02, Denver County, Colorado",817,728,21,707,89,0,89
"224","1500000US080310037023","080310037023","Block Group 3, Census Tract 37.02, Denver County, Colorado",959,939,21,918,20,0,20
"225","1500000US080310037024","080310037024","Block Group 4, Census Tract 37.02, Denver County, Colorado",1263,1228,91,1137,35,0,35
"226","1500000US080310037031","080310037031","Block Group 1, Census Tract 37.03, Denver County, Colorado",1400,1264,68,1196,136,18,118
"227","1500000US080310037032","080310037032","Block Group 2, Census Tract 37.03, Denver County, Colorado",1693,1624,150,1474,69,0,69
"228","1500000US080310038001","080310038001","Block Group 1, Census Tract 38, Denver County, Colorado",1039,954,23,931,85,0,85
