session_id,camp_name,camp_website,camp_email,camp_phone,camp_address_1,camp_city,camp_state,camp_zip,,session_name,session_reg_open,session_reg_close,session_size,session_gender,session_min_age,session_max_age,session_cost,session_date_start,session_date_end,session_count,session_address_name,session_address_1,session_city,session_state,session_zip,session_categories,calendar date,start time hours,end time hours,duration 
region_co,One Sol,https://onesol.weebly.com/,,,119 Park Ave W,Denver,CO,80205,,One Sol,,,30,both,,,$333 ,8/7/19,8/11/19,,Cleo Parker Robinson Dance,119 Park Ave W,Denver,CO,80205,"dance, arts",8/7/19,4:00pm,9:00pm,5 hours
region_co,One Sol,https://onesol.weebly.com/,,,119 Park Ave W,Denver,CO,80205,,One Sol,,,30,both,,,$333 ,8/7/19,8/11/19,,Cleo Parker Robinson Dance,119 Park Ave W,Denver,CO,80205,"dance, arts",8/8/19,4:00pm,9:00pm,5 hours
region_co,One Sol,https://onesol.weebly.com/,,,119 Park Ave W,Denver,CO,80205,,One Sol,,,30,both,,,$333 ,8/7/19,8/11/19,,Cleo Parker Robinson Dance,119 Park Ave W,Denver,CO,80205,"dance, arts",8/9/19,4:00pm,9:00pm,5 hours
region_co,One Sol,https://onesol.weebly.com/,,,119 Park Ave W,Denver,CO,80205,,One Sol,,,30,both,,,$333 ,8/7/19,8/11/19,,Cleo Parker Robinson Dance,119 Park Ave W,Denver,CO,80205,"dance, arts",8/10/19,11:00am,11:00pm,12 hours
region_co,One Sol,https://onesol.weebly.com/,,,119 Park Ave W,Denver,CO,80205,,One Sol,,,30,both,,,$333 ,8/7/19,8/11/19,,Cleo Parker Robinson Dance,119 Park Ave W,Denver,CO,80205,"dance, arts",8/11/19,11:00am,3:00pm,4 hours
region_co,Wakanda in Aurora,https://empowerhighschool.org/wakanda?fbclid=IwAR3LYUfzErvV0ScVynUulDiKdCUrjzwPZ15NEylrq9C0q6GAI1HzCosTeN4,,,12600 Hoffman Blvd,Aurora ,CO,80011,,Wakanda in Aurora,,,30,both,,,$350 ,6/24/19,6/28/19,,Fire Station #2 ,12600 Hoffman Blv. ,Aurora,CO,80011,"arts, academic, stem",6/24/19,9:00am,3:00pm,6 hours
region_co,Wakanda in Aurora,https://empowerhighschool.org/wakanda?fbclid=IwAR3LYUfzErvV0ScVynUulDiKdCUrjzwPZ15NEylrq9C0q6GAI1HzCosTeN4,,,12600 Hoffman Blvd,Aurora ,CO,80011,,Wakanda in Aurora,,,30,both,,,$350 ,6/24/19,6/28/19,,Fire Station #2 ,12600 Hoffman Blv. ,Aurora,CO,80011,"arts, academic, stem",6/25/19,9:00am,3:00pm,6 hours
region_co,Wakanda in Aurora,https://empowerhighschool.org/wakanda?fbclid=IwAR3LYUfzErvV0ScVynUulDiKdCUrjzwPZ15NEylrq9C0q6GAI1HzCosTeN4,,,12600 Hoffman Blvd,Aurora ,CO,80011,,Wakanda in Aurora,,,30,both,,,$350 ,6/24/19,6/28/19,,Fire Station #2 ,12600 Hoffman Blv. ,Aurora,CO,80011,"arts, academic, stem",6/26/19,9:00am,3:00pm,6 hours
region_co,Wakanda in Aurora,https://empowerhighschool.org/wakanda?fbclid=IwAR3LYUfzErvV0ScVynUulDiKdCUrjzwPZ15NEylrq9C0q6GAI1HzCosTeN4,,,12600 Hoffman Blvd,Aurora ,CO,80011,,Wakanda in Aurora,,,30,both,,,$350 ,6/24/19,6/28/19,,Fire Station #2 ,12600 Hoffman Blv. ,Aurora,CO,80011,"arts, academic, stem",6/27/19,9:00am,3:00pm,6 hours
region_co,Wakanda in Aurora,https://empowerhighschool.org/wakanda?fbclid=IwAR3LYUfzErvV0ScVynUulDiKdCUrjzwPZ15NEylrq9C0q6GAI1HzCosTeN4,,,12600 Hoffman Blvd,Aurora ,CO,80011,,Wakanda in Aurora,,,30,both,,,$350 ,6/24/19,6/28/19,,Fire Station #2 ,12600 Hoffman Blv. ,Aurora,CO,80011,"arts, academic, stem",6/28/19,9:00am,3:00pm,6 hours
region_co,Freedom School,https://www.facebook.com/BLM-5280-Freedom-School-432938897226877/,,,9360 E Colfax ,Aurora,CO,80010,,Freedom School,,,,both,4,12,$0 ,7/8/19,7/12/19,,Second Chance Center,9360 E Colfax ,Aurora,CO,80010,academic,7/8/19,8:00am,1:00pm,5 hours
region_co,Freedom School,https://www.facebook.com/BLM-5280-Freedom-School-432938897226877/,,,9360 E Colfax ,Aurora,CO,80010,,Freedom School,,,,both,4,12,$0 ,7/8/19,7/12/19,,Second Chance Center,9360 E Colfax ,Aurora,CO,80010,academic,7/9/19,8:00am,1:00pm,5 hours
